question_id,question_number,risk_level,risk_points,correct_options,option_count,correct_answer_count,average_correct_words,average_distractor_words,correct_vs_distractor_ratio,correct_vs_distractor_percent_longer,shortest_option_words,longest_option_words,option_length_ratio,correct_is_longest,correct_question_overlap,distractor_question_overlap,overlap_advantage,reasons_text,question_text
q-saa-200,200,CRITICAL,14,A,4,1,30,15,2.0,100.0,11,30,2.73,True,0.312,0.098,0.215,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats more question wording than distractors,A finance software company wants to mitigate unexpected AWS cost overruns in sandbox accounts. Billing and budget data in AWS Budgets is refreshed periodically (up to three times daily). The team requires an automated cost control mechanism that triggers remediation shortly after a budget data refresh indicates spending has crossed a predefined threshold. Which solution fulfills this requirement with the LEAST operational overhead?
q-saa-202,202,CRITICAL,14,B,4,1,40,14,2.86,185.71,13,40,3.08,True,0.438,0.185,0.252,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats more question wording than distractors,"An online retailer publishes order-status changes to billing and fulfilment systems. Both systems must receive every status change independently. Updates for the same customer must remain in order. If the producer retries a request during the messaging deduplication window, the retry must not introduce a duplicate message. The company does not want to maintain custom fan-out or duplicate-suppression infrastructure. Which architecture meets these requirements with the LEAST operational overhead?"
q-saa-231,231,CRITICAL,14,A,4,1,9,5,1.8,80.0,3,9,3.0,True,0.4,0.0,0.4,Correct answer is at least 60% longer than the average distractor | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"A Windows application uses SMB shares, Microsoft Active Directory integration, Windows ACLs, and Distributed File System features. It must run across multiple Availability Zones with managed failover. Which storage service meets the requirements?"
q-saa-235,235,CRITICAL,14,A,4,1,10,3,3.33,233.33,2,10,5.0,True,0.0,0.0,0.0,Correct answer is at least twice the average distractor length | Longest option is at least four times the shortest option | A correct answer is also the longest answer option,"A relational database is overloaded by repeated reads of product and session data. The cache must support replicas, automatic failover, persistence options, and rich data structures. Which service best meets the requirements?"
q-saa-172,172,CRITICAL,12,C,4,1,45,19,2.37,136.84,15,45,3.0,True,0.429,0.283,0.146,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,"A company requires a highly available and resilient hybrid network connection between its on-premises data center and an AWS VPC topology. The architecture must provide a dedicated, low-latency primary connection with high bandwidth, and an automated, cost-effective backup path over the public Internet. If the primary connection fails, traffic must automatically fail over to the backup path using BGP dynamic routing preferences. Which solution meets these requirements?"
q-saa-199,199,CRITICAL,12,B,4,1,26,14,1.86,85.71,13,26,2.0,True,0.417,0.074,0.343,Correct answer is at least 60% longer than the average distractor | Longest option is at least twice the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"An e-commerce company processes customer payment transactions using an asynchronous backend pipeline. Payment messages within each customer session must be processed in order, while unrelated sessions can proceed independently. Duplicate producer submissions within the five-minute deduplication interval are suppressed. Which solution fulfills these requirements?"
q-saa-205,205,CRITICAL,12,A,4,1,20,9.67,2.07,106.9,8,20,2.5,True,0.091,0.139,-0.048,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,"An organization has production and development OUs. Member-account administrators must be prevented from disabling CloudTrail, leaving the organization, or creating resources outside approved Regions. Workloads still need normal IAM permissions inside the approved boundaries. Which solution meets these requirements?"
q-saa-226,226,CRITICAL,12,A,4,1,15,6.67,2.25,125.0,4,15,3.75,True,0.1,0.337,-0.237,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,A web application stores user session data on individual EC2 instance volumes. Users lose sessions when Auto Scaling replaces an instance. Which change makes the application more resilient?
q-saa-217,217,CRITICAL,10,A,4,1,21,12,1.75,75.0,8,21,2.62,True,0.5,0.339,0.161,Correct answer is at least 60% longer than the average distractor | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,A company must allow an application role in Account A to publish only to one SNS topic in Account B. Which approach provides the LEAST privilege?
q-saa-219,219,CRITICAL,10,A,4,1,17,9.33,1.82,82.14,7,17,2.43,True,0.3,0.111,0.189,Correct answer is at least 60% longer than the average distractor | Longest option is at least twice the shortest option | A correct answer is also the longest answer option | Correct answer repeats more question wording than distractors,"A CloudFront distribution serves static content from an S3 bucket in one Region. The company maintains a synchronized backup bucket in another Region. For GET, HEAD, and OPTIONS requests, CloudFront must automatically use the backup when the primary origin times out or returns selected server errors. Which solution meets the requirements?"
