question_id,question_number,risk_level,risk_points,correct_options,option_count,correct_answer_count,average_correct_words,average_distractor_words,correct_vs_distractor_ratio,correct_vs_distractor_percent_longer,shortest_option_words,longest_option_words,option_length_ratio,correct_is_longest,correct_question_overlap,distractor_question_overlap,overlap_advantage,reasons_text,question_text
q-saa-108,108,CRITICAL,22,A,4,1,28,5.67,4.94,394.12,4,28,7.0,True,0.462,0.111,0.35,"Correct answer is at least twice the average distractor length | Longest option is at least four times the shortest option | A correct answer is also the longest answer option | Multiple distractors are unusually short: B, D | Correct answer repeats substantially more question wording than the distractors","A media company serves static web assets via Amazon CloudFront from an S3 bucket origin in `us-east-1`. In the event of a regional S3 outage in `us-east-1`, CloudFront must seamlessly fail over to a backup S3 origin bucket in `us-west-2` without returning HTTP 5xx errors to users. How is this origin redundancy configured?"
q-saa-120,120,CRITICAL,18,A,4,1,8,3,2.67,166.67,2,8,4.0,True,1.0,0.0,1.0,Correct answer is at least twice the average distractor length | Longest option is at least four times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"An enterprise migrates an Apache Kafka messaging cluster to AWS. The application requires managed Apache Kafka control planes with compatibility for existing Kafka client APIs, custom topic partitions, and low-latency message streaming. Which service should be chosen?"
q-saa-135,135,CRITICAL,18,"A, B",5,2,15.5,5.33,2.91,190.63,4,19,4.75,True,0.585,0.0,0.585,Correct answer is at least twice the average distractor length | Longest option is at least four times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"A conglomerate operates 20 AWS accounts across different business units. The CFO wants to consolidate billing into a single invoice, combine usage across all accounts to qualify for tiered volume pricing discounts (such as S3 storage and data transfer), and centrally enforce governance policies. Which TWO features of AWS Organizations fulfill these requirements? (Select TWO.)"
q-saa-146,146,CRITICAL,18,"A, B, C",6,3,12,5,2.4,140.0,4,17,4.25,True,0.54,0.0,0.54,Correct answer is at least twice the average distractor length | Longest option is at least four times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"A media company is building a real-time data streaming analytics pipeline to process clickstream data from millions of mobile users. The pipeline must ingest streaming events continuously, transform JSON records using AWS Lambda, and buffer data into an Amazon Redshift data warehouse for BI reporting. Which THREE AWS services construct this pipeline? (Select THREE.)"
q-saa-148,148,CRITICAL,18,"A, B, C",6,3,12.33,4.33,2.85,184.62,4,16,4.0,True,0.448,0.0,0.448,Correct answer is at least twice the average distractor length | Longest option is at least four times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"A global e-commerce portal experiences performance bottlenecks due to database read-heavy traffic. The architecture consists of a web tier, an application tier backed by a relational database for order transactions, and Amazon DynamoDB for high-throughput product catalog reads. To achieve sub-millisecond response times, the architect plans multi-tier caching across edge, application, and database layers. Which THREE caching services fulfill this strategy? (Select THREE.)"
q-saa-149,149,CRITICAL,18,"A, B, C",6,3,13,4,3.25,225.0,3,14,4.67,True,0.333,0.0,0.333,Correct answer is at least twice the average distractor length | Longest option is at least four times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"A security operations team requires automated continuous monitoring, threat detection, and security posture management across all AWS accounts in an organization. The security solution must detect unauthorized API activity, evaluate configuration compliance against CIS benchmarks, and centralize all security findings. Which THREE services should be enabled? (Select THREE.)"
q-saa-105,105,CRITICAL,17,B,4,1,20,6.67,3.0,200.0,5,20,4.0,True,0.214,0.0,0.214,Correct answer is at least twice the average distractor length | Longest option is at least four times the shortest option | A correct answer is also the longest answer option | Distractor C is unusually short | Correct answer repeats more question wording than distractors,"A SaaS application serves global users over TCP. The backend is deployed in `us-east-1` and `eu-west-1`. To improve TCP handshake performance and provide static IP addresses, the application uses AWS Global Accelerator. How does Global Accelerator handle a regional outage?"
q-saa-52,52,CRITICAL,16,B,4,1,12,5,2.4,140.0,4,12,3.0,True,0.714,0.083,0.631,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"A company wants to inspect all outbound traffic from VPC subnets to the internet to prevent data exfiltration. The inspection device must enforce domain name filtering (SNI), stateful pattern matching, and layer 3-7 threat prevention across hundreds of VPCs connected via AWS Transit Gateway. Which service should be deployed?"
q-saa-58,58,CRITICAL,16,B,4,1,27,12,2.25,125.0,10,27,2.7,True,0.571,0.132,0.439,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,An organization with 50 AWS accounts needs a central log archive where API calls across all accounts are logged and stored in a secure S3 bucket in a dedicated Log Archive account. Member account administrators must not be able to stop logging or modify log files. What solution achieves this governance requirement?
q-saa-82,82,CRITICAL,16,A,4,1,17,6.67,2.55,155.0,4,17,4.25,True,0.273,0.048,0.225,Correct answer is at least twice the average distractor length | Longest option is at least four times the shortest option | A correct answer is also the longest answer option | Correct answer repeats more question wording than distractors,A database administrator provisions an Amazon RDS Multi-AZ DB Cluster (with two readable standby DB instances across 3 AZs) instead of a standard Multi-AZ DB instance deployment. What key architectural advantage does an RDS Multi-AZ DB Cluster provide for write-heavy workloads?
q-saa-85,85,CRITICAL,16,B,4,1,16,7.33,2.18,118.18,6,16,2.67,True,0.75,0.25,0.5,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,A company runs microservices across two separate VPCs (VPC A and VPC B) connected via VPC Peering. Microservices in VPC B need to resolve the internal private domain name `api.internal.company.local` which is hosted in a Route 53 Private Hosted Zone associated with VPC A. How can Route 53 DNS resolution be enabled for VPC B?
q-saa-86,86,CRITICAL,16,A,4,1,11,3.67,3.0,200.0,3,11,3.67,True,0.429,0.111,0.317,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,A centralized IT compliance team uses AWS Backup to manage backups across 100 AWS accounts. The disaster recovery policy mandates that daily backups of EBS volumes and RDS databases must be copied automatically to a secondary AWS Region in a separate backup vault. Which AWS Backup feature automates this cross-Region cross-account copy?
q-saa-137,137,CRITICAL,16,"A, B",5,2,15,5.67,2.65,164.71,5,16,3.2,True,0.421,0.0,0.421,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"A financial institution requires a resilient hybrid connection between its corporate data center and an AWS VPC. The primary connection must provide dedicated 10 Gbps low-latency connectivity over a private link. If the primary physical connection fails, traffic must automatically fail over to an encrypted backup tunnel over the public internet. Which TWO networking components fulfill this design? (Select TWO.)"
q-saa-140,140,CRITICAL,16,"A, B",5,2,19.5,8.33,2.34,134.0,7,27,3.86,True,0.503,0.178,0.326,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"An enterprise application running on Amazon Aurora MySQL requires cross-Region disaster recovery across two AWS Regions (us-east-1 and eu-west-1). In the event of a regional disaster in us-east-1, the system must support fast cross-Region storage replication (typically under 1 second lag) and allow promoting the secondary Region cluster to full read/write workloads with an RTO of under 1 minute. Which TWO steps configure this solution? (Select TWO.)"
q-saa-143,143,CRITICAL,16,"A, B, C",6,3,20,9.33,2.14,114.29,8,21,2.62,True,0.401,0.067,0.335,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"A web application hosted on EC2 instances in private subnets receives public web traffic through an Application Load Balancer (ALB). The security policy mandates inspecting Layer 7 traffic for SQL injection attacks, enforcing HTTPS encryption in transit, and restricting administrative SSH access to a bastion host. Which THREE security controls fulfill these requirements? (Select THREE.)"
q-saa-150,150,CRITICAL,16,"A, B, C",6,3,13.67,5.33,2.56,156.25,5,17,3.4,True,0.3,0.0,0.3,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"An enterprise is executing a large-scale migration of on-premises applications to AWS. The portfolio includes 100 Linux/Windows physical servers, a 20 TB Oracle database, and 50 TB of NFS file storage. The migration must minimize downtime and preserve file permissions. Which THREE AWS migration services should be deployed? (Select THREE.)"
q-saa-99,99,CRITICAL,15,B,4,1,24,7.33,3.27,227.27,5,24,4.8,True,0.091,0.254,-0.163,Correct answer is at least twice the average distractor length | Longest option is at least four times the shortest option | A correct answer is also the longest answer option | Distractor D is unusually short,"A company relies on a 1 Gbps AWS Direct Connect connection for hybrid connectivity. To ensure business continuity during an unexpected Direct Connect outage, the company needs a backup network connection that automatically takes over traffic if Direct Connect fails. What is the most resilient, cost-effective backup option?"
q-saa-134,134,CRITICAL,15,"A, B",5,2,15,7,2.14,114.29,5,16,3.2,True,0.354,0.133,0.221,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Distractor E is unusually short | Correct answer repeats more question wording than distractors,"A company runs containerized batch workloads on Amazon ECS. Some tasks require high CPU/RAM for short durations, while others run continuously 24/7. Which TWO purchasing strategies optimize compute costs across this container infrastructure? (Select TWO.)"
q-saa-2,2,CRITICAL,14,B,4,1,18,9.67,1.86,86.21,7,18,2.57,True,0.667,0.333,0.333,Correct answer is at least 60% longer than the average distractor | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,A company requires all data uploaded to Amazon S3 to be encrypted at rest. Key management mandates dictate that encryption keys must be managed in AWS KMS with annual automatic key rotation enabled and CloudTrail auditing for key usage. Which solution satisfies these compliance demands?
